"COMUNE","CODICE_COMUNE","ETA_MEDIA","PERC_MASCHILE","POPOLAZIONE","PERC_SI_EL22","BASSA_ISTR","ALTA_ISTR","PERC_STRANIERI","PERC_SI_CITTAD_REF25","POSIZIONE_GEO","NUM_VOTI_SI","NUM_VOTI_NO","SI_NO","PERC_SI","SUPERFICIE_kmq","INDICE_POVERTA","INDICE_DISUGUAGLIANZA","INDICE_CETO_MEDIO","DENSITA_Xkmq","FASCIA_POPOLAZIONE"
"ACRI",78003,48.2412063041937,0.485357473959753,18337,0.334350132625995,0.479075615158953,0.111536849667724,0.0319027103670175,0.694069155026334,"S",1885,5721,"no",0.247830660005259,200.6272,-0.579934217340746,0.0641791464822487,-1.22749420761489,91.3983746969504,"Grande"
"ACUTO",60002,48.157952669235,0.494221243808475,1817,0.531521739130435,0.478890229191797,0.0663449939686369,0.0297193175564117,0.694656488549618,"C",352,528,"no",0.4,13.4662,-0.124157573875153,-0.467633893004231,-0.0948130121135009,134.930418380835,"Micro"
"ADELFIA",72002,45.8397420296909,0.490447797517644,16436,0.508180809761509,0.491526563550773,0.0887693342299933,0.0324288147967875,0.652933507170795,"S",2889,4074,"no",0.414907367514003,29.814,-0.84168119509099,0.541358120399953,0.0607204743356543,551.28463138123,"Grande"
"ADRANO",87006,42.1430183859566,0.485163513232542,33667,0.450891435848456,0.663899312589247,0.0617341347590742,0.0156533103632637,0.611432538764175,"S",3796,6131,"no",0.382391457640778,83.2209,-0.252007436614493,1.29964134062513,-0.588897144122189,404.549818615276,"Grande"
"ADRARA SAN MARTINO",16001,43.9031377899045,0.531605275125057,2199,0.805219012115564,0.576642335766423,0.0482874789444133,0.1218735788995,0.471380471380471,"N",683,271,"si",0.715932914046122,12.6054,-0.418040322723601,-1.07427996415328,-0.291579170025702,174.449045647104,"Micro"
"ADRARA SAN ROCCO",16002,46.9312883435583,0.515337423312883,815,0.815850815850816,0.61086637298091,0.0469897209985316,0.115337423312883,0.496062992125984,"N",315,103,"si",0.753588516746411,9.2249,1.10847392065244,-1.05360976360444,-0.227228748713808,88.34784116901,"Micro"
"ADRIA",29001,49.2941927928887,0.490339064246553,18787,0.649881333195749,0.464522872602066,0.105693556320708,0.0788311066162772,0.544604498357341,"N",5081,3968,"si",0.561498508122445,113.3885,-0.312164434639885,-0.638214333877585,-0.0990749473556221,165.686996476715,"Grande"
"ADRO",17002,45.8273159809684,0.503498460677302,7146,0.774217585692995,0.548218527315914,0.0717339667458432,0.0572348166806605,0.573094867807154,"N",2460,1254,"si",0.662358642972536,14.2895,-0.378202332959057,-0.288990215049714,0.485603114026349,500.087476818643,"Medio"
"AFFI",23001,44.959595959596,0.497777777777778,2475,0.755310778914241,0.430294259527255,0.080077182826821,0.0892929292929293,0.631701631701632,"N",849,419,"si",0.669558359621451,9.8814,-0.873702671029466,0.461331393660235,-0.123888336840948,250.470581091748,"Micro"
"AFFILE",58001,48.4946543121882,0.498218104062723,1403,0.667096774193548,0.442367601246106,0.0809968847352025,0.0263720598717035,0.585434173669468,"C",425,322,"si",0.568942436412316,15.1123,1.26707896974583,-0.825661250550687,-0.408452265909841,92.8382840467699,"Micro"
"AFRAGOLA",63002,40.5774932832681,0.493801184734406,61786,0.393820864484825,0.608878444619876,0.0652664818520626,0.030799857572913,0.718775326429536,"S",5776,12584,"no",0.314596949891068,17.9149,-0.120074546075472,-0.3729054315464,-0.39155567981074,3448.86100396876,"Grande"
"AFRICO",80001,42.9501858736059,0.504089219330855,2690,0.627642276422764,0.472397808680995,0.0766961651917404,0.0130111524163569,0.733333333333333,"S",680,184,"si",0.787037037037037,53.8784,1.18908500976698,-2.30442660553671,-2.00526524917375,49.9272435707074,"Piccolo"
"AGAZZANO",33001,48.7835562159485,0.491827637444279,2019,0.659871244635193,0.39797739440809,0.109458655562165,0.12481426448737,0.624352331606218,"N",569,407,"si",0.582991803278688,36.145,-1.82842430060653,1.02098027424943,-0.158913774130237,55.8583483192696,"Micro"
"AGEROLA",63003,42.3987113402062,0.491494845360825,7760,0.536039188243527,0.514328582145536,0.0826706676669167,0.0548969072164948,0.598557692307692,"S",1214,1694,"no",0.417469050894085,19.8316,-0.609799409277297,0.0274835981088266,-1.44536733122219,391.294701385667,"Medio"
"AGGIUS",90001,49.664290805417,0.48039914468995,1403,0.542536115569823,0.512213740458015,0.113740458015267,0.0178189593727726,0.823728813559322,"S",330,378,"no",0.466101694915254,86.3045,-0.780233612755646,0.375126317416853,-1.27905992868183,16.2563945101356,"Micro"
"AGIRA",86001,44.8038852913969,0.492665521342672,7567,0.34715821812596,0.616784630940344,0.081323125812509,0.0136117351658517,0.598944591029024,"S",835,2041,"no",0.290333796940195,164.0806,-1.46565352346164,1.61704950358641,-0.736750245462065,46.1175787996875,"Medio"
"AGLIANA",47002,46.1153460381143,0.492644600468071,17946,0.536174985978688,0.571014110510352,0.0615851246208625,0.10241836620974,0.616761594792514,"C",4048,4690,"no",0.463263904783703,11.6951,-0.995602786765561,-0.115580701606168,-1.15816880496069,1534.48880300297,"Grande"
"AGLIANO TERME",5001,49.9548429319372,0.507198952879581,1528,0.704874835309618,0.524486571879937,0.0655608214849921,0.128926701570681,0.584745762711864,"N",500,289,"si",0.633713561470216,15.4485,-0.859528589973086,0.567487340586081,-0.490401128188623,98.9092792180471,"Micro"
"AGLIENTU",90062,51.5238493723849,0.504602510460251,1195,0.584323040380047,0.563116370808678,0.0897435897435897,0.098744769874477,0.75,"S",211,273,"no",0.43595041322314,148.3216,-0.813821905729401,0.904796382205264,-1.66122163432397,8.05681707856442,"Micro"
"AGLIÈ",1001,48.4576402321083,0.482011605415861,2585,NA,0.458897922312556,0.0903342366757001,0.0963249516441006,0.640144665461121,"N",683,560,"si",0.549477071600965,13.1463,-1.56174606296853,0.648653144094133,-0.0487373351249317,196.633273240379,"Piccolo"
"AGNA",28002,47.1842439644219,0.493329097839898,3148,0.766832917705736,0.564539521392313,0.0547498187092096,0.0724269377382465,0.478165938864629,"N",1000,479,"si",0.676132521974307,18.8041,-0.952296279295372,0.0140279968496848,-0.570674728713285,167.410298817811,"Piccolo"
"AGNADELLO",19002,43.6634444161791,0.500635970490969,3931,0.74671772428884,0.503603885929176,0.0557818865559386,0.125158992622742,0.544055944055944,"N",1110,622,"si",0.640877598152425,12.0775,-1.03165404532981,-0.371463018999599,-0.377626513042785,325.481266818464,"Piccolo"
